museum_id,name,url,location,city,latitude,longitude,image_url,image_alt,page
19495,The Wittenstein Time Center,https://muuseumikaart.ee/en/museums/the-wittenstein-time-center/,"Veski 11, Paide",Paide,58.8893642,25.5721908,https://muuseumikaart.ee/wp-content/uploads/fly-images/18543/190585837_174366631299220_3942364359672659400_n-290x150-c.jpg,190585837_174366631299220_3942364359672659400_n,11
19499,The Wittenstein Activity Center,https://muuseumikaart.ee/en/museums/the-wittenstein-activity-center/,"Tallinna mnt 9/11, Paide",Paide,58.888735,25.5696186,https://muuseumikaart.ee/wp-content/uploads/fly-images/18519/Tegevusmuuseum-apteek-scaled-290x150-c.jpg,Tegevusmuuseum apteek,11
19625,Adamson-Eric Museum,https://muuseumikaart.ee/en/museums/adamson-eric-museum/,"Lühike jalg 3, Tallinn",Tallinn,59.436317,24.7418953,https://muuseumikaart.ee/wp-content/uploads/fly-images/22461/Adamson-Eric-Museum-2021-290x150-c.jpg,Adamson-Eric Museum 2021,2
19641,Kadriorg Art Museum,https://muuseumikaart.ee/en/museums/kadriorg-art-museum/,"Weizenbergi 37, Tallinn",Tallinn,59.438495,24.7909947,https://muuseumikaart.ee/wp-content/uploads/fly-images/22479/Endel-Apsalon-DSC_8486-290x150-c.jpg,Endel Apsalon,4
19644,Kumu Art Museum,https://muuseumikaart.ee/en/museums/kumu-art-museum/,"Weizenbergi 34 / Valge 1, Tallinn",Tallinn,59.43621710000001,24.7962019,https://muuseumikaart.ee/wp-content/uploads/fly-images/20844/Kumu1_HelenMelesk_-290x150-c.jpg,Helen Melesk,5
19680,Mikkel Museum,https://muuseumikaart.ee/en/museums/mikkel-museum/,"Weizenbergi 28, Tallinn",Tallinn,59.4374824,24.7914038,https://muuseumikaart.ee/wp-content/uploads/fly-images/20899/Mikkeli1_Stanislav_stepasko_v_-290x150-c.jpg,Mikkeli1_Stanislav_stepaško_v_,6
19704,Gallery Seek,https://muuseumikaart.ee/en/museums/gallery-seek/,"Väike-Pääsukese 5, Tallinn",Tallinn,59.43343540000001,24.7603895,https://muuseumikaart.ee/wp-content/uploads/fly-images/31867/PAISESSEseek_Meeli_Kuttim-scaled-290x150-c.jpg,Seeki eestvaade,4
20323,Children&#8217;s Museum Miiamilla,https://muuseumikaart.ee/en/museums/children-museum-miiamilla-closed-until-jan-2024/,"L. Koidula 21c, Tallinn",Tallinn,59.43667960000001,24.7894089,https://muuseumikaart.ee/wp-content/uploads/fly-images/20296/keskkonnaharidus_janek_toomikas-290x150-c.jpg,keskkonnaharidus_janek_toomikas,2
21129,Museum of Photography,https://muuseumikaart.ee/en/museums/photo-museum-2/,"Raekoja 6, Tallinn",Tallinn,59.43745789999999,24.7443396,https://muuseumikaart.ee/wp-content/uploads/fly-images/24764/20230605_0372-scaled-290x150-c.jpg,Karli Saul,6
21178,Iisaku Parish Museum,https://muuseumikaart.ee/en/museums/iisaku-museum/,"Tartu mnt 58/49, Iisaku alevik, Ida-Virumaa",Iisaku,59.09676090000001,27.3127295,https://muuseumikaart.ee/wp-content/uploads/fly-images/21156/Iisakumuseum_pruutkleitidenaitus_Ida-Viru_Hetkeline1_-1-290x150-c.jpg,Iisaku+museum_pruutkleitide+naitus_Ida-Viru_Hetkeline(1)_,4
21459,Haapsalu Castle,https://muuseumikaart.ee/en/museums/haapsalu-castle/,"Lossiplats 3, Haapsalu",Haapsalu,58.94758949999999,23.5388273,https://muuseumikaart.ee/wp-content/uploads/fly-images/21436/Castle-Haapsalu-visit-estonia_-290x150-c.jpg,Castle-Haapsalu-visit-estonia_,4
21656,Mihkli Farm Museum in Saaremaa,https://muuseumikaart.ee/en/museums/mihkli-farm-museum-in-saaremaa/,"Viki, Saaremaa",Viki,58.332687,22.0989813,https://muuseumikaart.ee/wp-content/uploads/fly-images/21398/Mihkli_TM_hoov_pildistas_Kristi_Hints-290x150-c.jpg,Mihkli_TM_hoov_pildistas_Kristi_Hints,6
24647,Heimtali Museum,https://muuseumikaart.ee/en/museums/heimtali-museum/,"Heimtali, Viljandimaa",Heimtali,58.32507,25.5032264,https://muuseumikaart.ee/wp-content/uploads/fly-images/24548/Anu-Raud.-Foto-Anu-Ansu-290x150-c.jpg,Anu Raud. Foto Anu Ansu,4
25373,Estonian Bicycle Museum,https://muuseumikaart.ee/en/museums/estonian-bicycle-museum/,"Pikk 9, Väätsa, Järvamaa",Väätsa,58.89647100000001,25.452759,https://muuseumikaart.ee/wp-content/uploads/fly-images/25339/miele-290x150-c.jpg,miele,3
26826,Mulgi Experience Center(Closed in October),https://muuseumikaart.ee/en/museums/mulgi-elamuskeskus/,"Sooglemäe, Valgamaa",Helme,57.9977822,25.6828584,https://muuseumikaart.ee/wp-content/uploads/fly-images/26808/Kaabu_paike-scaled-290x150-c.jpg,Kaabu_päike,6
27315,Pernova Nature House,https://muuseumikaart.ee/en/museums/pernova-nature-house/,"A. H. Tammsaare pst 57, Pärnu",Pärnu,58.37544389999999,24.531194,https://muuseumikaart.ee/wp-content/uploads/fly-images/27303/kerakino-planetaarium-290x150-c.jpg,kerakino-planetaarium,7
29971,The Banned Books Museum,https://muuseumikaart.ee/en/museums/the-banned-books-museum/,"Munga 2, Tallinn",Tallinn,59.4382982,24.7483819,https://muuseumikaart.ee/wp-content/uploads/fly-images/29924/GPF09334-scaled-290x150-c.jpg,Joseph Dunnigan,8
